chain,day,total_value
gnosis,2022-06-06 00:00:00.000 UTC,909537667252496533323447
Gnosis,2022-06-07 00:00:00.000 UTC,1236551506746292087577234
gnosis,2022-06-07 00:00:00.000 UTC,1236551506746292087577234
Gnosis,2022-06-08 00:00:00.000 UTC,32294908060834496211642
gnosis,2022-06-08 00:00:00.000 UTC,32294908060834496211642
Gnosis,2022-06-09 00:00:00.000 UTC,100578674149918833769931
gnosis,2022-06-09 00:00:00.000 UTC,100578674149918833769931
Gnosis,2022-06-10 00:00:00.000 UTC,520497328304730657064414
gnosis,2022-06-10 00:00:00.000 UTC,520497328304730657064414
Gnosis,2022-06-11 00:00:00.000 UTC,552534851533551915593335
gnosis,2022-06-11 00:00:00.000 UTC,552534851533551915593335
Gnosis,2022-06-12 00:00:00.000 UTC,574331310676962713812826
gnosis,2022-06-12 00:00:00.000 UTC,574331310676962713812826
Gnosis,2022-06-13 00:00:00.000 UTC,2838669000360936135111128
gnosis,2022-06-13 00:00:00.000 UTC,2838669000360936135111128
Gnosis,2022-06-14 00:00:00.000 UTC,2360457726917463308308045
gnosis,2022-06-14 00:00:00.000 UTC,2360457726917463308308045
Gnosis,2022-06-15 00:00:00.000 UTC,10445823132115953277522672
gnosis,2022-06-15 00:00:00.000 UTC,10445823132115953277522672
Gnosis,2022-06-16 00:00:00.000 UTC,991560350489285967201732
gnosis,2022-06-16 00:00:00.000 UTC,991560350489285967201732
Gnosis,2022-06-17 00:00:00.000 UTC,109756974035902077337298
gnosis,2022-06-17 00:00:00.000 UTC,109756974035902077337298
Gnosis,2022-06-18 00:00:00.000 UTC,2607062669944008407695289
gnosis,2022-06-18 00:00:00.000 UTC,2607062669944008407695289
Gnosis,2022-06-19 00:00:00.000 UTC,2964914762937704562166213
gnosis,2022-06-19 00:00:00.000 UTC,2964914762937704562166213
Gnosis,2022-06-20 00:00:00.000 UTC,883609736165585356800785
gnosis,2022-06-20 00:00:00.000 UTC,883609736165585356800785
Gnosis,2022-06-21 00:00:00.000 UTC,717640596778039195624295
gnosis,2022-06-21 00:00:00.000 UTC,717640596778039195624295
Gnosis,2022-06-22 00:00:00.000 UTC,401492235632473616307856
gnosis,2022-06-22 00:00:00.000 UTC,401492235632473616307856
Gnosis,2022-06-23 00:00:00.000 UTC,623977072247251179833421
gnosis,2022-06-23 00:00:00.000 UTC,623977072247251179833421
Gnosis,2022-06-24 00:00:00.000 UTC,934664936265778411055345
gnosis,2022-06-24 00:00:00.000 UTC,934664936265778411055345
Gnosis,2022-06-25 00:00:00.000 UTC,70720879945213885725904
gnosis,2022-06-25 00:00:00.000 UTC,70720879945213885725904
Gnosis,2022-06-26 00:00:00.000 UTC,716927237986333251664625
gnosis,2022-06-26 00:00:00.000 UTC,716927237986333251664625
Gnosis,2022-06-27 00:00:00.000 UTC,222391160202426781340155
gnosis,2022-06-27 00:00:00.000 UTC,222391160202426781340155
Gnosis,2022-06-28 00:00:00.000 UTC,241987382623799345780908
gnosis,2022-06-28 00:00:00.000 UTC,241987382623799345780908
Gnosis,2022-06-29 00:00:00.000 UTC,315474691934996776541024
gnosis,2022-06-29 00:00:00.000 UTC,315474691934996776541024
Gnosis,2022-06-30 00:00:00.000 UTC,915791233534911132666002
gnosis,2022-06-30 00:00:00.000 UTC,915791233534911132666002
Gnosis,2022-07-01 00:00:00.000 UTC,1036097351279637311351808
gnosis,2022-07-01 00:00:00.000 UTC,1036097351279637311351808
Gnosis,2022-07-02 00:00:00.000 UTC,91545982539066253167254
gnosis,2022-07-02 00:00:00.000 UTC,91545982539066253167254
Gnosis,2022-07-04 00:00:00.000 UTC,577652989939498189211155
gnosis,2022-07-04 00:00:00.000 UTC,577652989939498189211155
Gnosis,2022-07-05 00:00:00.000 UTC,931959097508607920514369
gnosis,2022-07-05 00:00:00.000 UTC,931959097508607920514369
Gnosis,2022-07-06 00:00:00.000 UTC,252278087566213784595856
gnosis,2022-07-06 00:00:00.000 UTC,252278087566213784595856
Gnosis,2022-07-07 00:00:00.000 UTC,827542128218559098255290
gnosis,2022-07-07 00:00:00.000 UTC,827542128218559098255290
Gnosis,2022-07-08 00:00:00.000 UTC,396127447946107568995236
gnosis,2022-07-08 00:00:00.000 UTC,396127447946107568995236
Gnosis,2022-07-10 00:00:00.000 UTC,247948452804947678193304
gnosis,2022-07-10 00:00:00.000 UTC,247948452804947678193304
Gnosis,2022-07-11 00:00:00.000 UTC,576309142195508803678377
gnosis,2022-07-11 00:00:00.000 UTC,576309142195508803678377
Gnosis,2022-07-12 00:00:00.000 UTC,442258486445656518711695
gnosis,2022-07-12 00:00:00.000 UTC,442258486445656518711695
Gnosis,2022-07-13 00:00:00.000 UTC,881150062227347930505805
gnosis,2022-07-13 00:00:00.000 UTC,881150062227347930505805
Gnosis,2022-07-14 00:00:00.000 UTC,934724291101532743526306
gnosis,2022-07-14 00:00:00.000 UTC,934724291101532743526306
Gnosis,2022-07-15 00:00:00.000 UTC,468396264685726708927372
gnosis,2022-07-15 00:00:00.000 UTC,468396264685726708927372
Gnosis,2022-07-16 00:00:00.000 UTC,1200877030713299620143900
gnosis,2022-07-16 00:00:00.000 UTC,1200877030713299620143900
Gnosis,2022-07-17 00:00:00.000 UTC,93767496190501094451775
gnosis,2022-07-17 00:00:00.000 UTC,93767496190501094451775
Gnosis,2022-07-18 00:00:00.000 UTC,1800435082472620994396221
gnosis,2022-07-18 00:00:00.000 UTC,1800435082472620994396221
Gnosis,2022-07-19 00:00:00.000 UTC,1179648493221805421703890
gnosis,2022-07-19 00:00:00.000 UTC,1179648493221805421703890
Gnosis,2022-07-20 00:00:00.000 UTC,509777349754558720675282
gnosis,2022-07-20 00:00:00.000 UTC,509777349754558720675282
Gnosis,2022-07-21 00:00:00.000 UTC,318657156314558986082966
gnosis,2022-07-21 00:00:00.000 UTC,318657156314558986082966
Gnosis,2022-07-22 00:00:00.000 UTC,618605973707420407551142
gnosis,2022-07-22 00:00:00.000 UTC,618605973707420407551142
Gnosis,2022-07-23 00:00:00.000 UTC,232501828372924012626833
gnosis,2022-07-23 00:00:00.000 UTC,232501828372924012626833
Gnosis,2022-07-24 00:00:00.000 UTC,415195958419048827135868
gnosis,2022-07-24 00:00:00.000 UTC,415195958419048827135868
Gnosis,2022-07-25 00:00:00.000 UTC,739029779821265115607610
gnosis,2022-07-25 00:00:00.000 UTC,739029779821265115607610
Gnosis,2022-07-26 00:00:00.000 UTC,424633273265731768573630
gnosis,2022-07-26 00:00:00.000 UTC,424633273265731768573630
Gnosis,2022-07-27 00:00:00.000 UTC,1395746953605490714259259
gnosis,2022-07-27 00:00:00.000 UTC,1395746953605490714259259
Gnosis,2022-07-28 00:00:00.000 UTC,646981759675171719028674
gnosis,2022-07-28 00:00:00.000 UTC,646981759675171719028674
Gnosis,2022-07-29 00:00:00.000 UTC,138628363225848858570141
gnosis,2022-07-29 00:00:00.000 UTC,138628363225848858570141
Gnosis,2022-07-30 00:00:00.000 UTC,98908562605131885840516
gnosis,2022-07-30 00:00:00.000 UTC,98908562605131885840516
Gnosis,2022-07-31 00:00:00.000 UTC,92556989430368161453824
gnosis,2022-07-31 00:00:00.000 UTC,92556989430368161453824
Gnosis,2022-08-01 00:00:00.000 UTC,219128371267434297067721
gnosis,2022-08-01 00:00:00.000 UTC,219128371267434297067721
Gnosis,2022-08-02 00:00:00.000 UTC,489562539991441859805610
gnosis,2022-08-02 00:00:00.000 UTC,489562539991441859805610
Gnosis,2022-08-03 00:00:00.000 UTC,25000000000000000000
